item_id,lrn_question_reference,var_name,prompt ,option_1,option_2,option_3,option_4,option_5,option_6,option_7,option_8,option_9,option_10,included_v1.5,included_v1.6,included_v1.7,included_v1.8,included_v1.9,included_v2.0
presurvey_0719_student_background,016ccb06-5646-40b4-8215-c49ecd8ebbea,student_gpa_pre,what is your gpa at this school?,below 2.00,2.00 - 2.49,2.50 - 2.99,3.00 - 3.49,3.50 - 4.00,,,,,,,1,,,,
presurvey_0719_student_background,0fc7c772-ea1a-4457-8940-3007e64becf8,student_commute_pre,do you commute more than 30 minutes each way to attend this school?,yes,no,,,,,,,,,,1,,,,
presurvey_0719_student_background,2789e95e-1b76-419d-a59e-47bb1f96fd6e,student_year_pre,what is your year in school?,first,second,third,fourth,other,,,,,,,1,,,,
presurvey_0719_student_background,37d18e27-eb29-4fdf-8e26-8c1acd29f9e1,student_lang1_pre,is english your most proficient language?,yes,no,,,,,,,,,,1,,,,
presurvey_0719_student_background,380ccb1e-8bb9-40f3-b0d2-4d05d3ba349a,student_ed_mother_pre,what is the highest level of education completed by your mother?,i do not know/uncertain,elementary or middle school,some high school,high school graduate,post high school vocational training,some college,associate's degree,bachelor's degree,"post graduate degree (master's, doctorate, etc.)",,,1,,,,
presurvey_0719_student_background,3d36483f-18b2-4548-bcd2-2b0ada169eb1,student_employ_pre,approximately how many hours per week do you work at paid employment?,40+ hours per week,30-40 hours per week,20-30 hours per week,10-20 hours per week,less than 10 hours per week,i don't currently have paid employment,,,,,,1,,,,
presurvey_0719_student_background,49ae5a26-6ea6-4887-8059-105e69da6d12,student_gender2_pre,"if you indicated in the prior question that you prefer to self-describe your gender, how do you describe yourself?",,,,,,,,,,,,1,,,,
presurvey_0719_student_background,6350d37d-caf2-48c2-9ef8-34cfed6a49ad,student_gender1_pre,what best describes your gender?,male,female,non-binary,prefer to self-describe,prefer not to say,,,,,,,1,,,,
presurvey_0719_student_background,c9fed305-fda2-4e67-8ad6-f15dfbfcca46,student_re1_pre,what best describes your racial/ethnic background?,white,african american,asian,latinx,prefer to self-describe,,,,,,,1,,,,
presurvey_0719_student_background,cf62ea6d-42ce-42ae-a41b-9936363e7c44,student_re2_pre,"if you indicated in the prior question that you prefer to self-describe your racial/ethnic background, how do you describe yourself?",,,,,,,,,,,,1,,,,
presurvey_0719_student_background,dddb1dce-d9bd-496c-96a1-c52dd1d17978,student_ed_status_pre,which of the following describes you?,i am a community college student,i am a student at a four year university and transferred from a community college,i am at a four year university and began here as a freshman,none of the above,,,,,,,,1,,,,
presurvey_0719_reason_attending,109c532b-d723-4605-b651-e08e81747021,ra_help2_pre,give back to my community,,,,,,,,,,,,1,,,,
presurvey_0719_reason_attending,4bddee34-f037-4dde-8b91-93c16116eeec,ra_help1_pre,help my family out after i'm done with college,,,,,,,,,,,,1,,,,
presurvey_0719_reason_attending,4c3a4b4d-ebef-4eb2-80a2-425d460fe16f,ra_ind2_pre,expand my understanding of the world,,,,,,,,,,,,1,,,,
presurvey_0719_reason_attending,6473b1a8-63c2-4841-a50e-cbf0fd4f6d19,ra_help3_pre,provide a better life for my own children,,,,,,,,,,,,1,,,,
presurvey_0719_reason_attending,945f82b7-bcb6-4f29-9fc6-5cd3a2b21a51,ra_inter2_pre,show that people with my background can do well,,,,,,,,,,,,1,,,,
presurvey_0719_reason_attending,9fbc6a04-6835-4c23-94d7-34128d694a5f,ra_inter1_pre,be a role model for people in my community,,,,,,,,,,,,1,,,,
presurvey_0719_reason_attending,a5a76ede-a86c-4d8b-b73e-77dc63f0bcd5,ra_ind1_pre,explore new interests,,,,,,,,,,,,1,,,,
presurvey_0719_reason_attending,b82a060f-07a8-45ed-bcd4-935d4782911f,ra_ind3_pre,become an independent thinker,,,,,,,,,,,,1,,,,
presurvey_0719_reason_attending,b8698553-67d8-4ad6-9f33-6f6e3176e86e,ra_ind4_pre,learn more about my interests,,,,,,,,,,,,1,,,,
presurvey_0719_educational_background,04813bed-46f1-463b-a88a-d54e4f6f1297,sent_pro_pre,"in this course, you will use r (a programming language) to analyze data.&nbsp; how do you feel about this?",strongly negative,somewhat negative,neither positive nor negative,somewhat positive,strongly positive,,,,,,,1,,,,
presurvey_0719_educational_background,3052f550-4d2d-4dec-98b3-35e1c9e8c96f,ed_prev_ma2_pre,how well have you done in mathematics courses you have taken in the past?,not well at all,slightly well,moderately well,very well,extremely well,,,,,,,1,,,,
presurvey_0719_educational_background,643bd974-0ea6-4368-9d86-2ea5f8943edc,ed_prev_ma1_pre,which of the following courses have you successfully completed? (check all that apply),ap calculus in high school,calculus in college,ap statistics in high school,a different statistics course (besides this one) in college,,,,,,,,1,,,,
presurvey_0719_educational_background,8b0e175f-080e-449f-83f8-23f7cf013cff,ed_ma_bio_pre,"write a brief biography of your experiences learning mathematics over the years where possible, please provide specific examples; write at least 150 but no more than 300 words.",,,,,,,,,,,,1,,,,
presurvey_0719_educational_background,f45af090-abc1-4a59-8282-ae67bb011efd,ed_prev_pro_pre,have you had experience with computer programming before?,"yes, i have taken a computer programming class.","yes, i have used computer programming in a non-programming course.",no,"not a formal course, but i have tried programming on my own.",,,,,,,,1,,,,
presurvey_0719_attitudes,45c8af0d-70c2-49c1-9b85-447184024241,attitudes_mem_pre,i expect that this course will require a lot of memorization.,strongly disagree,somewhat disagree,neither agree nor disagree,somewhat agree,strongly agree,,,,,,,1,,,,
presurvey_0719_attitudes,8055c2da-3c7c-4c67-9423-dde94e8c7e3a,attitudes_con_course_pre,"when i think about this course, i'm concerned that... (write ""not at all"" if you so feel)",,,,,,,,,,,,1,,,,
presurvey_0719_attitudes,c8cb6e9f-a4c5-4c30-a497-b6dea0272ff1,attitudes_anx_ma_pre,"in general, i tend to feel very anxious about mathematics.",strongly disagree,somewhat disagree,neither agree nor disagree,somewhat agree,strongly agree,,,,,,,1,,,,
presurvey_0719_attitudes,ff5d1cec-1070-484b-9fbc-c46908fa62cb,attitudes_anx_course_pre,i am feeling very anxious about being able to master the material in this course.,strongly disagree,somewhat disagree,neither agree nor disagree,somewhat agree,strongly agree,,,,,,,1,,,,
presurvey_0719_expectancy,6c5f8bd7-4a8e-4dbd-b331-cbc2bddb211b,expectancy1_pre,i know i can learn the material in this course.,strongly disagree,somewhat disagree,neither agree nor disagree,somewhat agree,strongly agree,,,,,,,1,,,,
presurvey_0719_expectancy,ac2f22d5-1b23-4d85-bea2-88812bcb353b,expectancy2_pre,i believe that i can be successful in this course.,strongly disagree,somewhat disagree,neither agree nor disagree,somewhat agree,strongly agree,,,,,,,1,,,,
presurvey_0719_value,13a20e61-4fe1-442a-b034-76645d3ecfc9,value2_pre,what i learn in this course will be useful in the future.,strongly disagree,somewhat disagree,neither agree nor disagree,somewhat agree,strongly agree,,,,,,,1,,,,
presurvey_0719_value,8b36d7c2-e6ac-4ec2-a343-1ea765eced89,value1_pre,the content of this course is important for me.,strongly disagree,somewhat disagree,neither agree nor disagree,somewhat agree,strongly agree,,,,,,,1,,,,
