release,page,lrn_question_reference,prompt,var_name,lrn_option_0,lrn_option_1,lrn_option_2,lrn_option_3,lrn_option_4,lrn_option_5,lrn_option_6,lrn_option_7,lrn_option_8,lrn_option_9,lrn_option_10,lrn_option_11
release/v1.6,student survey (required),8055c2da-3c7c-4c67-9423-dde94e8c7e3a,"when i think about this course, i'm concerned that... (write ""not at all"" if you so feel)",con_course,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
release/v1.6,student survey (required),c8cb6e9f-a4c5-4c30-a497-b6dea0272ff1,"in general, i tend to feel very anxious about mathematics.",anx_ma,strongly disagree,somewhat disagree,neither agree nor disagree,somewhat agree,strongly agree,NA,NA,NA,NA,NA,NA,NA
release/v1.6,student survey (required),ff5d1cec-1070-484b-9fbc-c46908fa62cb,i am feeling very anxious about being able to master the material in this course.,anx_course,strongly disagree,somewhat disagree,neither agree nor disagree,somewhat agree,strongly agree,NA,NA,NA,NA,NA,NA,NA
release/v1.6,student survey (required),45c8af0d-70c2-49c1-9b85-447184024241,i expect that this course will require a lot of memorization.,rate_mem.pre,strongly disagree,somewhat disagree,neither agree nor disagree,somewhat agree,strongly agree,NA,NA,NA,NA,NA,NA,NA
release/v1.6,student survey (required),3052f550-4d2d-4dec-98b3-35e1c9e8c96f,how well have you done in mathematics courses you have taken in the past?,prev_ma2,not well at all,slightly well,moderately well,very well,extremely well,NA,NA,NA,NA,NA,NA,NA
release/v1.6,student survey (required),f45af090-abc1-4a59-8282-ae67bb011efd,have you had experience with computer programming before?,prev_pro,"yes, i have taken a computer programming class.","yes, i have used computer programming in a non-programming course.",no,"not a formal course, but i have tried programming on my own.",NA,NA,NA,NA,NA,NA,NA,NA
release/v1.6,student survey (required),04813bed-46f1-463b-a88a-d54e4f6f1297,"in this course, you will use r (a programming language) to analyze data.&nbsp; how do you feel about this?",sent_pro.pre,strongly negative,somewhat negative,neither positive nor negative,somewhat positive,strongly positive,NA,NA,NA,NA,NA,NA,NA
release/v1.6,student survey (required),643bd974-0ea6-4368-9d86-2ea5f8943edc,which of the following courses have you successfully completed? (check all that apply),prev_ma1,ap calculus in high school,calculus in college,ap statistics in high school,a different statistics course (besides this one) in college,NA,NA,NA,NA,NA,NA,NA,NA
release/v1.6,student survey (required),8b0e175f-080e-449f-83f8-23f7cf013cff,"write a brief biography of your experiences learning mathematics over the years.&nbsp; where possible, please provide specific examples.&nbsp; write at least 150 but no more than 300 words.",ma_bio,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
release/v1.6,student survey (required),6c5f8bd7-4a8e-4dbd-b331-cbc2bddb211b,i know i can learn the material in this course.,exp_course1,strongly disagree,somewhat disagree,neither agree nor disagree,somewhat agree,strongly agree,NA,NA,NA,NA,NA,NA,NA
